channelsToEnergies	channelsToEnergies_intrp
607.84869	608.13257
608.01648	608.30042
608.18439	608.46838
608.35242	608.63647
608.52045	608.80457
608.68866	608.97278
608.85693	609.14111
609.02527	609.30951
609.19373	609.47803
609.36224	609.64661
609.53088	609.81531
609.69965	609.98407
609.86847	610.15295
610.03735	610.3219
610.20642	610.49097
610.37549	610.6601
610.54468	610.82935
610.71399	610.99866
610.88336	611.16809
611.05286	611.33765
611.22241	611.50726
611.39209	611.677
611.56189	611.8468
611.73175	612.01672
611.90167	612.18671
612.07172	612.35681
612.24188	612.52698
612.41211	612.69727
612.58246	612.86768
612.75287	613.03815
612.9234	613.20874
613.09399	613.37939
613.26471	613.55011
613.43549	613.72095
613.60638	613.89191
613.7774	614.06299
613.94849	614.23413
614.11969	614.40533
614.29095	614.57666
614.46234	614.74805
614.63379	614.91956
614.80536	615.09119
614.97705	615.26294
615.1488	615.43475
615.32068	615.60669
615.49261	615.77869
615.66467	615.95074
615.83679	616.12292
616.00903	616.29523
616.1814	616.46765
616.35382	616.64014
616.52637	616.81268
616.69897	616.98535
616.8717	617.15808
617.04449	617.33093
617.21741	617.50391
617.39044	617.677
617.56354	617.85016
617.73676	618.02344
617.9101	618.19678
618.0835	618.37024
618.25696	618.54382
618.4306	618.71741
618.60425	618.89117
618.77808	619.06506
618.95197	619.23895
619.12592	619.41296
619.30005	619.58716
619.47418	619.76135
619.6485	619.93567
619.82288	620.11011
619.99731	620.28467
620.17194	620.45929
620.34662	620.63403
620.52136	620.80884
620.69623	620.98376
620.87122	621.15875
621.04626	621.33386
621.22144	621.50909
621.39673	621.68445
621.57208	621.8598
621.7475	622.03528
621.9231	622.21094
622.09875	622.38666
622.27454	622.5625
622.45038	622.7384
622.62634	622.91437
622.80237	623.09045
622.97858	623.26672
623.15479	623.44299
623.33118	623.61938
623.50763	623.7959
623.6842	623.97253
623.86084	624.14923
624.0376	624.32605
624.21448	624.50293
624.39142	624.67993
624.56848	624.85706
624.74561	625.0343
624.92291	625.21155
625.10022	625.38898
625.27771	625.56653
625.45526	625.74414
625.63293	625.92181
625.81067	626.09961
625.98853	626.27753
626.1665	626.45557
626.3446	626.63367
626.52277	626.81189
626.70105	626.99023
626.87939	627.16864
627.05786	627.34717
627.23645	627.52576
627.4151	627.70447
627.59387	627.8833
627.77277	628.06226
627.95172	628.24133
628.13086	628.42041
628.31	628.59967
628.48932	628.77905
628.6687	628.9585
628.84821	629.138
629.02777	629.31763
629.20746	629.49738
629.38727	629.67725
629.5672	629.85718
629.74719	630.03723
629.92731	630.21741
630.10748	630.39771
630.28784	630.57806
630.46826	630.75854
630.64874	630.93909
630.82941	631.11975
631.01013	631.30054
631.19092	631.48145
631.37189	631.66241
631.55292	631.84351
631.73407	632.02466
631.91528	632.20599
632.09668	632.38739
632.27808	632.56885
632.45966	632.75049
632.6413	632.93225
632.82312	633.11401
633.00494	633.29596
633.18695	633.47803
633.36902	633.66016
633.55121	633.84241
633.73352	634.02472
633.91589	634.20715
634.09839	634.38971
634.28101	634.57239
634.46368	634.75513
634.64655	634.93799
634.82947	635.12097
635.01245	635.30408
635.19562	635.48724
635.37885	635.67053
635.56219	635.85388
635.74561	636.03741
635.9292	636.22107
636.11285	636.40479
636.29663	636.58856
636.48047	636.77246
636.66449	636.95654
636.84857	637.14069
637.03278	637.32495
637.21704	637.50928
637.40143	637.69373
637.58594	637.8783
637.77057	638.06299
637.95532	638.24774
638.14014	638.43262
638.32507	638.61761
638.51013	638.80273
638.69525	638.98792
638.88055	639.17322
639.06592	639.35864
639.2514	639.54419
639.43695	639.72986
639.62268	639.91559
639.80847	640.10144
639.99438	640.28741
640.18042	640.47351
640.36652	640.65967
640.55273	640.84595
640.73907	641.03235
640.92554	641.21887
641.11212	641.40546
641.29877	641.59216
641.48553	641.77899
641.67242	641.96594
641.85944	642.15295
642.04651	642.34009
